universe,screen_rule,holding_budget,controller,splits,mean_ann_return,mean_ann_vol,mean_sharpe,worst_split_drawdown,mean_turnover,selected_for_paper
liquid_us_equity_500,momentum_21_top10,10,EW,9,0.21881629299158956,0.18685040362230737,1.2995592235431097,-0.1365415118552732,1.0000333894311098e-12,False
liquid_us_equity_500,momentum_21_top10,10,MRH_tau21_k5,9,0.1987594701296605,0.2058927829561127,1.0345994125751719,-0.1570261952158717,21.7111111110894,False
liquid_us_equity_500,momentum_21_top10,10,MRH_tau63_k5,9,0.3214874583677577,0.2143352927942928,1.4827855107126273,-0.13295872155481814,12.199999999987801,True
liquid_us_equity_500,momentum_21_top10,10,MRH_tau126_k5,9,0.2602080938604437,0.21965418254493532,1.1866136910246228,-0.13812871383792147,8.777777777769,False
liquid_us_equity_500,momentum_63_top10,10,EW,9,0.2710139094687257,0.19550138060858302,1.4617966756943306,-0.1401094291188203,1.0000333894311098e-12,False
liquid_us_equity_500,momentum_63_top10,10,MRH_tau21_k5,9,0.35591834836297687,0.2199678446286676,1.6662647498237702,-0.15774449526588707,22.0222222222002,True
liquid_us_equity_500,momentum_63_top10,10,MRH_tau63_k5,9,0.20475054346940327,0.22098568855370573,0.8513499190997359,-0.14157835398828122,12.5999999999874,False
liquid_us_equity_500,momentum_63_top10,10,MRH_tau126_k5,9,0.3111589738192296,0.23018613891482825,1.3656383502979643,-0.13690660875533334,9.888888888879,False
liquid_us_equity_500,vol_adjusted_momentum_63_top10,10,EW,9,0.2695742910451821,0.1880002348540007,1.5096676690685649,-0.12833187289271053,1.0000333894311098e-12,False
liquid_us_equity_500,vol_adjusted_momentum_63_top10,10,MRH_tau21_k5,9,0.3511220846395793,0.2083113569012892,1.7564080110227396,-0.15464920399598925,22.0666666666446,True
liquid_us_equity_500,vol_adjusted_momentum_63_top10,10,MRH_tau63_k5,9,0.17851088253499853,0.2111090919398612,0.7330378359708974,-0.13953668193909685,11.8444444444326,False
liquid_us_equity_500,vol_adjusted_momentum_63_top10,10,MRH_tau126_k5,9,0.2723371793028122,0.22701746316782595,1.237430790175815,-0.15102263871802646,8.999999999991,False
liquid_us_equity_500,low_volatility_63_top10,10,EW,9,0.1615311980759434,0.129816962973366,1.3867600421534738,-0.14995160570686827,1.0000333894311098e-12,True
liquid_us_equity_500,low_volatility_63_top10,10,MRH_tau21_k5,9,0.12882207349702884,0.13716809769226282,1.0664901043608213,-0.14197671327232309,22.866666666643802,False
liquid_us_equity_500,low_volatility_63_top10,10,MRH_tau63_k5,9,0.13269317401765202,0.13763197813216252,1.048481920740522,-0.13866219791347278,13.044444444431402,False
liquid_us_equity_500,low_volatility_63_top10,10,MRH_tau126_k5,9,0.05135567031291208,0.13924582831463342,0.5320816319721876,-0.20958663813268774,9.7555555555458,False
liquid_us_equity_500,cluster_capped_momentum_63_top10,10,EW,9,0.26919287494894667,0.19507162410567613,1.4480018116202475,-0.1401094291188203,1.0000333894311098e-12,False
liquid_us_equity_500,cluster_capped_momentum_63_top10,10,MRH_tau21_k5,9,0.3494377332651726,0.21918602195728745,1.641359278271237,-0.15774449526588707,21.9333333333114,True
liquid_us_equity_500,cluster_capped_momentum_63_top10,10,MRH_tau63_k5,9,0.20625169362165924,0.22250259771837064,0.8477480538607244,-0.14157835398828122,12.555555555543002,False
liquid_us_equity_500,cluster_capped_momentum_63_top10,10,MRH_tau126_k5,9,0.3170035295175014,0.22994116042336188,1.3912117274707039,-0.13690660875533334,9.577777777768198,False
