universe,screen_rule,split_id,as_of_date,symbol,rank,score,lookback_start,lookback_end
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,AVGO,1,0.0865272143759599,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,BMY,2,0.011771342741984991,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,ABBV,3,-0.0075632263377024556,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,CAT,4,-0.029563064904049585,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,AMT,5,-0.0314529811689519,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,ABT,6,-0.051323900223820496,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,AMGN,7,-0.05173687252000203,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,COP,8,-0.05219082309494094,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,BA,9,-0.05473497894025681,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,CL,10,-0.06012072776394206,2018-11-29,2019-01-02
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AMD,1,0.23489363650058181,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AAPL,2,0.11291531387906995,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AVGO,3,0.10796472145998481,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AMAT,4,0.08990480526590194,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,ACN,5,0.08260504917814715,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AMZN,6,0.07579049884014877,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AMT,7,0.07306992477336793,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,ADBE,8,0.05486049751073896,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,ABBV,9,0.05284490843463696,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,CMCSA,10,0.04547747199090901,2019-03-05,2019-04-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AAPL,1,0.1378866571433488,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,ADBE,2,0.13765777949547142,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AMZN,3,0.12109438824213203,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,CAT,4,0.11066510366285343,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,ABT,5,0.10560269827752666,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AMAT,6,0.1051460349275799,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,BLK,7,0.10231207312976265,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,BKNG,8,0.09880745121669388,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AVGO,9,0.08250398341830856,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AXP,10,0.08047576614166929,2019-06-04,2019-07-03
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,ABBV,1,0.10290493242961762,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,AAPL,2,0.06446272420813148,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,C,3,0.04478076091325467,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,AMAT,4,0.03885739016791212,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,BA,5,0.0365102239831232,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,BAC,6,0.035988735216385015,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,CAT,7,0.025036489464587364,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,BMY,8,0.024354765398404643,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,BK,9,0.02311587494068168,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,COP,10,0.01979256212856395,2019-09-03,2019-10-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AMD,1,0.2677510729267101,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AAPL,2,0.13700015306289037,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,BMY,3,0.11108127236134058,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,ADBE,4,0.10464076854097848,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,BKNG,5,0.1008999238970878,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AMAT,6,0.09700171689564896,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AMT,7,0.09519877572149804,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,C,8,0.09004301714573892,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,COP,9,0.08431329258377751,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AXP,10,0.07697568376679476,2019-12-02,2020-01-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AMZN,1,-0.028848621404965802,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AMGN,2,-0.028962106238210605,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,ABT,3,-0.03228158229265443,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,CAT,4,-0.08367348485197013,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,BMY,5,-0.09455202480377922,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,CL,6,-0.09552874880210149,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AMD,7,-0.11215324014032846,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AMT,8,-0.12282452559377832,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,BLK,9,-0.13886256301560895,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AVGO,10,-0.15540548796979514,2020-03-04,2020-04-02
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,AMGN,1,0.16850678855443135,2020-06-03,2020-07-02
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,AMZN,2,0.16619594516637348,2020-06-03,2020-07-02
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,ADBE,3,0.13600224905902447,2020-06-03,2020-07-02
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,AAPL,4,0.11992493619576639,2020-06-03,2020-07-02
