universe,screen_rule,controller,splits,ann_return,ann_vol,sharpe,max_dd,turnover
liquid_us_equity_100,momentum_21_top10,EW,22,0.26908019118605514,0.221561431039832,1.3949656691213863,-0.09795877971333079,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,MRH_tau21_k5,22,0.26897233271564736,0.24321101484678725,1.2417655825954217,-0.11348672501905739,38.52727272723421
liquid_us_equity_100,momentum_21_top10,MRH_tau63_k5,22,0.3022192718716419,0.24383330245779958,1.3342615715463406,-0.10339340598421033,21.39999999997861
liquid_us_equity_100,momentum_21_top10,MRH_tau126_k5,22,0.3118642719854789,0.2513553933506843,1.2508856298530446,-0.10688833862147701,15.909090909075008
liquid_us_equity_100,momentum_21_top10,CMVT_lam0.5_gam0.25,22,0.4503109202112785,0.4120881233072785,1.0625829601463366,-0.17965405871653112,24.71820609586659
liquid_us_equity_100,momentum_21_top10,CMVT_lam1.0_gam0.5,22,0.4892235041614685,0.3819908664851127,1.0661885566165525,-0.15928576476536413,11.888564749512652
liquid_us_equity_100,momentum_21_top10,CMVT_lam2.0_gam1.0,22,0.3601261530551227,0.2724321177081105,1.3411775734457199,-0.11123500196112608,3.330530595087691
liquid_us_equity_100,momentum_21_top10,HRB_lb126_ct0.5,22,0.24702563707136027,0.20449886300211856,1.3654773048970867,-0.08968482287295668,9.369635026414553
liquid_us_equity_100,momentum_21_top10,HRB_lb63_ct0.3,22,0.27835600059209303,0.21616801389072418,1.4689933776516106,-0.09502461809371675,10.384691037897834
liquid_us_equity_100,momentum_63_top10,EW,22,0.19353049611177645,0.23844968031163843,1.2331382683428365,-0.10345920116543338,1.0000333894311098e-12
liquid_us_equity_100,momentum_63_top10,MRH_tau21_k5,22,0.08820285688417968,0.2575771896359182,0.5789097814475356,-0.12164686699595668,38.309090909052614
liquid_us_equity_100,momentum_63_top10,MRH_tau63_k5,22,0.14592446793858285,0.26511209990422224,0.8308634344898492,-0.12014490183762107,21.763636363614612
liquid_us_equity_100,momentum_63_top10,MRH_tau126_k5,22,0.18645725425455983,0.2730568437570348,0.966241965537544,-0.12022569201747196,16.363636363620003
