universe,screen_rule,controller,split_id,cost_bps,n_assets,ann_return,ann_vol,sharpe,max_dd,turnover
liquid_us_equity_100,momentum_21_top10,EW,0,10.0,10,0.300962379090687,0.18950896962315752,1.5881168035875493,-0.09660688699973474,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,1,10.0,10,0.17741473128752627,0.2479646095058605,0.715484083153478,-0.10699697765653704,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,2,10.0,10,1.0302991552206997,0.1648484441460732,6.249978036198482,-0.029262244575193552,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,3,10.0,10,-0.41410211190230894,0.6538437837706301,-0.6333349374580023,-0.37266737312451514,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,4,10.0,10,1.4981891986117999,0.36291755206684084,4.128180602110258,-0.0666479545398182,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,5,10.0,10,0.27464801700748476,0.1623213483130932,1.6920018214488861,-0.07098321027130439,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,6,10.0,10,0.4397420333749995,0.23663742936050106,1.8582944995705817,-0.1037529137605736,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,7,10.0,10,0.5794902919394436,0.19775731515134426,2.930310271926111,-0.058936424767764284,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,8,10.0,10,0.2695553319554955,0.14932851037917605,1.8051163255377927,-0.05314340679749896,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,9,10.0,10,-0.05877803400631665,0.14263127586947097,-0.412097793051331,-0.054096541806589626,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,10,10.0,10,0.7302992814279841,0.25175249235794234,2.900862170558939,-0.09274771408954197,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,11,10.0,10,0.27524447930190066,0.2670554295970197,1.0306642322015598,-0.13156658683363842,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,12,10.0,10,-0.6373814448408286,0.28925045344274525,-2.2035624741545634,-0.18244753954440507,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,13,10.0,10,0.008018492278096367,0.29614122340039284,0.027076582537203953,-0.17973312206532333,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,14,10.0,10,0.4538045731790663,0.14850134769913872,3.0558953181718658,-0.04116698712732725,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,15,10.0,10,-0.0625034788580825,0.15904066426542296,-0.39300313002577403,-0.10559522231051766,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,EW,16,10.0,10,0.10408712939389453,0.11205202687320182,0.9289178634024238,-0.06478242750809349,1.0000333894311098e-12
