scope,config_name,seed,periods,arms,universes,train_fraction,n_updates,episodes_per_update,learning_rate,gamma,used_pufferlib,final_train_reward_mean_25,n_test_periods,rl_total_reward,train_selected_fixed_arm,train_selected_fixed_total_reward,trailing_window_total_reward,test_best_fixed_arm,test_best_fixed_total_reward,period_oracle_total_reward,random_mean_total_reward,random_p05_total_reward,random_p95_total_reward,rl_vs_train_selected_fixed,rl_vs_trailing_window,rl_vs_test_best_fixed,rl_vs_random_mean,oracle_gap,dominant_chosen_arm,chosen_arm_count
liquid_us_equity_100,conservative,3,22,20,liquid_us_equity_100,0.68,220,8,0.015,0.96,True,0.616918927210645,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,conservative,7,22,20,liquid_us_equity_100,0.68,220,8,0.015,0.96,True,0.6042365752607384,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,conservative,11,22,20,liquid_us_equity_100,0.68,220,8,0.015,0.96,True,0.5937793297742701,8,0.45668850466609,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,-0.37048353627324104,-0.018667539224028695,-0.3788078613579273,-0.20062352289096452,0.8981603570282459,momentum_63_top10|MRH_tau126_k5,5
liquid_us_equity_100,conservative,17,22,20,liquid_us_equity_100,0.68,220,8,0.015,0.96,True,0.5813446856304109,8,0.6859152801334858,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,-0.14125676080584526,0.2105592362433671,-0.14958108589053154,0.02860325257643126,0.6689335815608501,cluster_capped_momentum_63_top10|EW,6
liquid_us_equity_100,conservative,23,22,20,liquid_us_equity_100,0.68,220,8,0.015,0.96,True,0.569705827154321,8,0.6839780770242214,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,-0.14319396391510963,0.2086220331341027,-0.1515182889997959,0.026666049467166886,0.6708707846701145,momentum_63_top10|MRH_tau126_k5,6
liquid_us_equity_100,conservative,31,22,20,liquid_us_equity_100,0.68,220,8,0.015,0.96,True,0.6335547343485906,8,0.5251103285700083,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,-0.3020617123693228,0.04975428467988957,-0.31038603745400906,-0.13220169898704626,0.8297385331243277,momentum_63_top10|MRH_tau126_k5,6
liquid_us_equity_100,conservative,43,22,20,liquid_us_equity_100,0.68,220,8,0.015,0.96,True,0.6228497577920825,8,0.7356135982554406,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,-0.09155844268389046,0.2602575543653219,-0.09988276776857674,0.07830157069838606,0.6192352634388953,momentum_21_top10|MRH_tau126_k5,7
liquid_us_equity_100,baseline,3,22,20,liquid_us_equity_100,0.68,320,10,0.03,0.98,True,0.5987279709149298,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,baseline,7,22,20,liquid_us_equity_100,0.68,320,10,0.03,0.98,True,0.6014051494291707,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,baseline,11,22,20,liquid_us_equity_100,0.68,320,10,0.03,0.98,True,0.6184498101939171,8,0.7160448178183287,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,-0.11112722312100232,0.24068877392821003,-0.1194515482056886,0.058732790261274204,0.6388040438760072,momentum_21_top10|MRH_tau126_k5,6
liquid_us_equity_100,baseline,17,22,20,liquid_us_equity_100,0.68,320,10,0.03,0.98,True,0.5993815380502493,8,0.6428227294236422,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,-0.1843493115156889,0.16746668553352345,-0.19267363660037518,-0.014489298133412376,0.7120261322706938,momentum_63_top10|MRH_tau126_k5,7
