winner_label,observations,cost_bps_mean,avg_pairwise_corr_mean,first_pc_share_mean,cross_sectional_dispersion_mean,trend_persistence_mean,vol_level_mean,vol_of_vol_mean,liquidity_proxy_mean,regime_switch_rate_mean
EW,6,10.0,0.4003224801289478,0.43870335831322227,0.015532413420777913,-0.002111094251208947,0.019950077975735506,0.005118219515669885,,0.510752688172043
MRH_tau126_k5,1,10.0,0.3551347825530893,0.4003794863137567,0.017059019278933624,0.01127273980302398,0.020459175842807254,0.005475284223615701,,0.4032258064516129
MRH_tau21_k5,3,10.0,0.22827426470643644,0.2709646790011973,0.01418228278644223,0.008846186267010314,0.015956765319200514,0.005155889471974218,,0.456989247311828
MRH_tau63_k5,1,10.0,0.19815878221986666,0.2536744170148441,0.01634952751703233,-0.04186042757506981,0.018485254812220832,0.0068876175480392715,,0.5
