universe,split_id,train_end,validation_end,evaluation_start,evaluation_end,cost_bps,winner_label,winner_score,descriptor_date,avg_pairwise_corr,first_pc_share,cross_sectional_dispersion,trend_persistence,vol_level,vol_of_vol,liquidity_proxy,regime_switch_rate
liquid_us_equity_250,0,2021-12-09,2022-03-11,2022-03-14,2022-06-10,10.0,MRH_tau126_k5,0.7294860863789341,2022-03-11,0.3551347825530893,0.4003794863137567,0.017059019278933624,0.01127273980302398,0.020459175842807254,0.005475284223615701,,0.4032258064516129
liquid_us_equity_250,1,2022-03-11,2022-06-10,2022-06-13,2022-09-12,10.0,EW,1.094897782045662,2022-06-10,0.4963790304025502,0.5333707369406949,0.01678510822408563,-0.02539439970668412,0.022553939398897483,0.005298534748784853,,0.4838709677419355
liquid_us_equity_250,2,2022-06-10,2022-09-12,2022-09-13,2022-12-09,10.0,EW,-0.10633566474774017,2022-09-12,0.5047553246694461,0.5371733979960509,0.01530733072247934,0.021580611377339947,0.020657016330817356,0.00425219512225284,,0.46774193548387094
liquid_us_equity_250,3,2022-09-12,2022-12-09,2022-12-12,2023-03-14,10.0,EW,-0.3028275661906164,2022-12-09,0.5618226233921122,0.5858642874813528,0.016379590214904177,0.016068534084708316,0.023957156538070633,0.005653445185578795,,0.5161290322580645
liquid_us_equity_250,4,2022-12-09,2023-03-14,2023-03-15,2023-06-13,10.0,EW,2.302839695848685,2023-03-14,0.3971643839372278,0.4370826361218832,0.014923017009686996,0.022574975742448593,0.019003156563127725,0.006457480015265162,,0.5161290322580645
liquid_us_equity_250,5,2023-03-14,2023-06-13,2023-06-14,2023-09-13,10.0,EW,0.8166906696026434,2023-06-13,0.2594638553978958,0.30967319816127475,0.01555567784979284,-0.030727691759265808,0.01778993770102984,0.0045096448674568235,,0.5967741935483871
liquid_us_equity_250,6,2023-06-13,2023-09-13,2023-09-14,2023-12-12,10.0,MRH_tau21_k5,2.094472790739031,2023-09-13,0.17319973618463386,0.21249617214331887,0.01323919287412092,0.033517404641023055,0.014559531173047608,0.004226022275507953,,0.45161290322580644
liquid_us_equity_250,7,2023-09-13,2023-12-12,2023-12-13,2024-03-14,10.0,MRH_tau21_k5,3.562169574548902,2023-12-12,0.3181618083256252,0.35378932499569393,0.014232552587100692,0.006527604805670964,0.016973096411444885,0.005952807838680211,,0.41935483870967744
liquid_us_equity_250,8,2023-12-12,2024-03-14,2024-03-15,2024-06-13,10.0,MRH_tau21_k5,2.330303132223537,2024-03-14,0.19346124960905028,0.24660853986457926,0.015075102898105083,-0.013506450645663077,0.016337668373109057,0.005288838301734489,,0.5
liquid_us_equity_250,9,2024-03-14,2024-06-13,2024-06-14,2024-09-13,10.0,EW,1.7161769789541077,2024-06-13,0.1823496629744548,0.22905589317807715,0.014243756503718485,-0.01676859524580061,0.015739261322469993,0.004538017154680836,,0.4838709677419355
liquid_us_equity_250,10,2024-06-13,2024-09-13,2024-09-16,2024-12-12,10.0,MRH_tau63_k5,1.7197908444588523,2024-09-13,0.19815878221986666,0.2536744170148441,0.01634952751703233,-0.04186042757506981,0.018485254812220832,0.0068876175480392715,,0.5
