universe,split_id,train_end,validation_end,evaluation_start,evaluation_end,cost_bps,winner_label,winner_score,descriptor_date,avg_pairwise_corr,first_pc_share,cross_sectional_dispersion,trend_persistence,vol_level,vol_of_vol,liquidity_proxy,regime_switch_rate
liquid_us_equity_500,0,2022-04-12,2022-07-14,2022-07-15,2022-10-12,10.0,EW,-0.3564456482285162,2022-07-14,0.5098531818687215,0.5363757492342589,0.018919875185451053,0.006302632120470763,0.024743291023538252,0.006151054833231713,,0.5
liquid_us_equity_500,1,2022-07-14,2022-10-12,2022-10-13,2023-01-12,10.0,MRH_tau63_k5,3.242547883461329,2022-10-12,0.5070642755495547,0.5334214540572261,0.016325883535639473,0.08088466250805816,0.021758546289565837,0.004842668171452939,,0.46774193548387094
liquid_us_equity_500,2,2022-10-12,2023-01-12,2023-01-13,2023-04-14,10.0,MRH_tau21_k5,2.4733903726058855,2023-01-12,0.4753641183304732,0.5072162760965365,0.016490195494611587,-0.07781085015101614,0.022215019935494976,0.006053602461741393,,0.5483870967741935
liquid_us_equity_500,3,2023-01-12,2023-04-14,2023-04-17,2023-07-17,10.0,EW,2.2548088385766483,2023-04-14,0.3281386836726597,0.3556333167418273,0.016149503705508626,-0.011665398962323987,0.01917854819249318,0.006422394597398412,,0.5645161290322581
liquid_us_equity_500,4,2023-04-14,2023-07-17,2023-07-18,2023-10-13,10.0,MRH_tau21_k5,1.3668539868069618,2023-07-17,0.2275204734756515,0.27457483979625774,0.015611230801062134,-0.014320019398773533,0.017144988429372107,0.005168966321115369,,0.4838709677419355
liquid_us_equity_500,5,2023-07-17,2023-10-13,2023-10-16,2024-01-16,10.0,EW,2.709544838891864,2023-10-13,0.20317218303491172,0.236014959259929,0.014357518792181034,-0.010594687035614078,0.015496421114107818,0.005111572462874,,0.5
liquid_us_equity_500,6,2023-10-13,2024-01-16,2024-01-17,2024-04-16,10.0,MRH_tau126_k5,2.1829047767342944,2024-01-16,0.2566130245553933,0.29945939912512337,0.014738817604362344,0.01030895355989215,0.017045107257619097,0.006145373041081716,,0.43548387096774194
liquid_us_equity_500,7,2024-01-16,2024-04-16,2024-04-17,2024-07-17,10.0,EW,4.055753535716929,2024-04-16,0.20552638136028956,0.24777363068065814,0.015826353630943025,-0.046508064547204166,0.016498693496168827,0.004905209606807927,,0.4838709677419355
liquid_us_equity_500,8,2024-04-16,2024-07-17,2024-07-18,2024-10-15,10.0,MRH_tau21_k5,2.2834277234333107,2024-07-17,0.1355205020165802,0.2099647547906084,0.015013287202733667,0.008544478370543543,0.015796954810977565,0.004692446542713603,,0.41935483870967744
