winner_label,observations,cost_bps_mean,avg_pairwise_corr_mean,first_pc_share_mean,cross_sectional_dispersion_mean,trend_persistence_mean,vol_level_mean,vol_of_vol_mean,liquidity_proxy_mean,regime_switch_rate_mean
EW,4,10.0,0.3116726074841456,0.34394941397916834,0.016313312828520936,-0.015616379606167866,0.01897923845657702,0.005647557875078013,,0.5120967741935484
MRH_tau126_k5,1,10.0,0.2566130245553933,0.29945939912512337,0.014738817604362344,0.01030895355989215,0.017045107257619097,0.006145373041081716,,0.43548387096774194
MRH_tau21_k5,3,10.0,0.2794683646075683,0.33058529022780087,0.015704904499469128,-0.02786213039308204,0.018385654391948215,0.005305005108523456,,0.4838709677419355
MRH_tau63_k5,1,10.0,0.5070642755495547,0.5334214540572261,0.016325883535639473,0.08088466250805816,0.021758546289565837,0.004842668171452939,,0.46774193548387094
