Date,avg_pairwise_corr,first_pc_share,cross_sectional_dispersion,trend_persistence,vol_level,vol_of_vol,liquidity_proxy,regime_switch_rate
2020-12-10,,,,,,,,
2020-12-11,,,,,,,,
2020-12-14,,,,,,,,
2020-12-15,,,,,,,,
2020-12-16,,,,,,,,
2020-12-17,,,,,,,,
2020-12-18,,,,,,,,
2020-12-21,,,,,,,,
2020-12-22,,,,,,,,
2020-12-23,,,,,,,,
2020-12-24,,,,,,,,
2020-12-28,,,,,,,,
2020-12-29,,,,,,,,
2020-12-30,,,,,,,,
2020-12-31,,,,,,,,
2021-01-04,,,,,,,,
2021-01-05,,,,,,,,
2021-01-06,,,,,,,,
2021-01-07,,,,,,,,
2021-01-08,,,,,,,,
2021-01-11,0.22092581630703279,0.3115601511762874,0.015189227104325076,-0.12917644058989822,0.01573979927613523,0.005038800196681103,,0.42105263157894735
2021-01-12,0.2084378827393296,0.2961614878802989,0.015666023784927853,-0.11064698431359976,0.015875382759838408,0.005359774692260317,,0.45
2021-01-13,0.19464376443893577,0.28048775601861325,0.015815828530037157,-0.1193987581112729,0.01597851262893336,0.00528135156200713,,0.42857142857142855
2021-01-14,0.18745128030487848,0.2724479951457771,0.0159979332874578,-0.1258413984486832,0.016004532480517496,0.005235409868374165,,0.4090909090909091
2021-01-15,0.17988498531111088,0.2621308119368454,0.016139442355400307,-0.12128698207627193,0.016102852620581316,0.005169915287306039,,0.43478260869565216
2021-01-19,0.18345040651556424,0.25806897179056826,0.016136773107901056,-0.12465082200915072,0.016164582529565086,0.005065478665632395,,0.4583333333333333
2021-01-20,0.18367161060408665,0.25472899798544135,0.016341956826537545,-0.10479754246053816,0.01641548778320098,0.005071951853672224,,0.44
2021-01-21,0.18192389787336002,0.25816863049667876,0.01661624984924443,-0.10456919240679104,0.016485216213303604,0.005169920920284184,,0.46153846153846156
2021-01-22,0.1838399795228263,0.25912850142326815,0.016415758131727236,-0.0864403859597832,0.016390916064784482,0.005182550050965294,,0.4444444444444444
2021-01-25,0.17657570846394255,0.25164786739871337,0.016415266200191084,-0.07041081965945735,0.01637610828121827,0.005092412534967601,,0.42857142857142855
2021-01-26,0.1641473423704062,0.24582383496044374,0.016764872934726102,-0.05177650999198302,0.016723888249771786,0.0053490900573418595,,0.41379310344827586
2021-01-27,0.20406782280549324,0.2884638900004238,0.017088478427326814,-0.01750938525281408,0.017667826088292538,0.005552601866283371,,0.4
2021-01-28,0.19761823362855713,0.2962094802925997,0.01746596370193388,-0.08428038126370865,0.018170110778434306,0.005855361281375682,,0.41935483870967744
2021-01-29,0.22694262471412094,0.3089463980775423,0.01738937308215614,-0.09038635726355515,0.01845020223235737,0.005782216229885347,,0.4375
2021-02-01,0.23689159570406806,0.3170187407706749,0.017376562264599254,-0.11547182206674862,0.018561960782164946,0.005697024374975165,,0.45454545454545453
2021-02-02,0.24127731729678317,0.323111907888983,0.01724099579320984,-0.09100881864862666,0.018526097824190978,0.0056704171877369775,,0.4411764705882353
2021-02-03,0.22875750613199922,0.3095711337494696,0.01744815408408492,-0.09032760069321014,0.018670549909831743,0.0057238522147021855,,0.42857142857142855
2021-02-04,0.22055069714431005,0.2973495291717822,0.017748458887087096,-0.08974818916973207,0.01897781543792685,0.00592651657551743,,0.4166666666666667
2021-02-05,0.21723792961354138,0.29218903256838613,0.01769744046948022,-0.0768206834548801,0.018937847584171007,0.005856244531353802,,0.40540540540540543
2021-02-08,0.21332136478767824,0.28685798212409247,0.017819704491977055,-0.07270104057303808,0.01898488802375468,0.0058296027580997875,,0.39473684210526316
2021-02-09,0.2123944521400746,0.2858086988775371,0.017611636935264522,-0.07395084664892368,0.018801013860487152,0.005901106152867454,,0.41025641025641024
2021-02-10,0.21089329891161995,0.2824657947906572,0.01771976372095896,-0.07715839399479937,0.018827890316278448,0.0058686767778193625,,0.425
2021-02-11,0.20732357912624633,0.27812525900264606,0.01773321525983285,-0.07395800209258777,0.018763693332926417,0.005799030373415995,,0.4146341463414634
2021-02-12,0.20555958379878933,0.2752843535279101,0.017600771652540294,-0.07074965208765785,0.01863483386081362,0.0057951207256584725,,0.40476190476190477
2021-02-16,0.20481978834001605,0.2720959305394185,0.017618530507189454,-0.07022647890719987,0.01862189383333509,0.00573007205809608,,0.4186046511627907
2021-02-17,0.20158711888574996,0.2680138339635699,0.017555143967210828,-0.07158297717809506,0.018546246990475242,0.005681625910941623,,0.4090909090909091
2021-02-18,0.20095996364115054,0.2673787799016904,0.017623108037723444,-0.06615196450275018,0.018605178544986105,0.005637993885505109,,0.4
2021-02-19,0.1943201250230778,0.2604885650022791,0.01777014092677532,-0.0784883525367214,0.01868629121579136,0.005666137597706173,,0.41304347826086957
2021-02-22,0.19043741913413553,0.25246062694082816,0.017883586054997205,-0.06807478389030215,0.018802649140930622,0.005660489305033504,,0.425531914893617
2021-02-23,0.18805321790909688,0.25015632444091934,0.017789695516748708,-0.063884254747677,0.0187055221446219,0.0056400690745102055,,0.4375
2021-02-24,0.18909701249204564,0.25103223300192773,0.017813633211176773,-0.06862828785064361,0.018700296962370216,0.005585897352212402,,0.42857142857142855
