Date,avg_pairwise_corr,first_pc_share,cross_sectional_dispersion,trend_persistence,vol_level,vol_of_vol,liquidity_proxy,regime_switch_rate
2021-04-15,,,,,,,,
2021-04-16,,,,,,,,
2021-04-19,,,,,,,,
2021-04-20,,,,,,,,
2021-04-21,,,,,,,,
2021-04-22,,,,,,,,
2021-04-23,,,,,,,,
2021-04-26,,,,,,,,
2021-04-27,,,,,,,,
2021-04-28,,,,,,,,
2021-04-29,,,,,,,,
2021-04-30,,,,,,,,
2021-05-03,,,,,,,,
2021-05-04,,,,,,,,
2021-05-05,,,,,,,,
2021-05-06,,,,,,,,
2021-05-07,,,,,,,,
2021-05-10,,,,,,,,
2021-05-11,,,,,,,,
2021-05-12,,,,,,,,
2021-05-13,0.24829072799182572,0.30740140452560705,0.015291770592360612,-0.15136017912008135,0.015894817381132895,0.002831105291236686,,0.631578947368421
2021-05-14,0.26869039773509035,0.32207141664593153,0.015592926306026454,-0.11955777082903936,0.0163133360843286,0.0030736587801160333,,0.6
2021-05-17,0.26714464524855797,0.3200067869612294,0.0157148168753513,-0.118430346267941,0.016201740649514886,0.0030544975919245773,,0.6190476190476191
2021-05-18,0.2685436260424678,0.32333772903943386,0.015702522877857256,-0.11191903401503948,0.01622349120187194,0.0029879140600894494,,0.5909090909090909
2021-05-19,0.26282511662470887,0.315800267942278,0.015600101916914374,-0.09624798640831403,0.016144261777943293,0.0029659597188331616,,0.5652173913043478
2021-05-20,0.26747547738829053,0.3167136747885217,0.015486827348008974,-0.08912697312421555,0.016139368125943167,0.0029585448184281655,,0.5833333333333334
2021-05-21,0.26265287853520486,0.31123868635195856,0.01532812520183392,-0.09082767461896528,0.015959181649538533,0.0030076557913902915,,0.56
2021-05-24,0.2604027874413704,0.3099001843877448,0.015166009400506872,-0.09488791013366406,0.01583873175762018,0.003065008389454957,,0.5384615384615384
2021-05-25,0.2599520178218846,0.306630846814879,0.015030006988904594,-0.08776707954618025,0.015738941099960393,0.0030916300338147246,,0.5555555555555556
2021-05-26,0.256491274325791,0.30323270103283845,0.014886340624648225,-0.08483261716648602,0.015572959050342366,0.003131533914725064,,0.5714285714285714
2021-05-27,0.24920413569177413,0.2948918201627137,0.014913561531435582,-0.07878094410420775,0.015556080931055259,0.0030823869850589757,,0.5517241379310345
2021-05-28,0.24745972239992461,0.29288890726044525,0.014781617901530717,-0.08299917661925856,0.015386013198009673,0.0031171935720743322,,0.5333333333333333
2021-06-01,0.23913079395234632,0.28557709816958726,0.015070051785872514,-0.085054231250942,0.01552476094175519,0.0034629842690708556,,0.5161290322580645
2021-06-02,0.23629785661863856,0.2828400190610026,0.014950881329756346,-0.08199792604653491,0.01539662640271452,0.0034761054862807103,,0.5
2021-06-03,0.23245258307001956,0.27873286249547724,0.014887186759320466,-0.08209830743010764,0.01530488441943042,0.0034440962303960293,,0.5151515151515151
2021-06-04,0.2338464006369807,0.279284940846406,0.014817095531556612,-0.08610406416991552,0.015250579139310593,0.003419053207094435,,0.5294117647058824
2021-06-07,0.2311004312110563,0.27697252761714286,0.014721070183118128,-0.0869193172486886,0.015147510648131945,0.0034187622120717856,,0.5428571428571428
2021-06-08,0.22809885183614376,0.2742718263499134,0.014635695431279183,-0.08408454195699284,0.015045144491815893,0.0034109299997092746,,0.5555555555555556
2021-06-09,0.22448539636057996,0.2715593325155688,0.014495700655067459,-0.08568017352738272,0.014944522215748613,0.0034718035342839056,,0.5675675675675675
2021-06-10,0.22072378057982042,0.2659335356745568,0.014486087988153432,-0.07145336875823677,0.014943089744377197,0.0034275164569824773,,0.5789473684210527
2021-06-11,0.2184039694898943,0.26402448055144545,0.014370177258660726,-0.07469172203810083,0.014842000417917205,0.0034609462474247247,,0.5641025641025641
2021-06-14,0.215923864450711,0.2605144239807115,0.014282841904037434,-0.0751071910749934,0.014772902389145462,0.0034628164144821947,,0.575
2021-06-15,0.2130623592383265,0.2583784729656107,0.014190886690803758,-0.07609926397993473,0.014698134403908327,0.0034716395851769736,,0.5609756097560976
2021-06-16,0.21846798153790453,0.2613702261639454,0.014125812414890764,-0.07524141094771516,0.014673016234165016,0.0034568557351141553,,0.5476190476190477
2021-06-17,0.21022507789961728,0.2539960474944332,0.01428720456934079,-0.06459467026826796,0.014878168471067743,0.003577471652006153,,0.5348837209302325
2021-06-18,0.23367970811571165,0.27691034420445776,0.014283286893859666,-0.03867675228485608,0.015095080642574815,0.003537594097432959,,0.5227272727272727
2021-06-21,0.2515544042819455,0.2965399401136697,0.014321558102384724,-0.07913613926799999,0.015255403516769812,0.0035083367752080066,,0.5333333333333333
2021-06-22,0.24986086440289798,0.2950630741289983,0.014217802502173851,-0.07790179848908609,0.015149711806982002,0.003541432737569144,,0.5217391304347826
2021-06-23,0.24838857458143598,0.29345550232577877,0.014112833447025443,-0.07566502980684427,0.015047271232982076,0.0035774752385573432,,0.5319148936170213
2021-06-24,0.24827910050836427,0.29306457271868935,0.01401515937476739,-0.073292755864396,0.0149641590571587,0.003604867468277155,,0.5416666666666666
2021-06-25,0.24846081857693864,0.29295698812134463,0.01394975719872413,-0.0663134027134199,0.014930005997078654,0.003597883108370057,,0.5306122448979592
2021-06-28,0.24475613651490502,0.28907514043161575,0.013966480548832198,-0.06777326269173703,0.014901587485302828,0.003564397214649244,,0.54
2021-06-29,0.24253318623110018,0.2868307791943459,0.013904134813147643,-0.06519172358134047,0.014828694358914195,0.0035579261520639442,,0.5294117647058824
2021-06-30,0.2405778490149789,0.28516868559862796,0.013972695762528292,-0.0660815158317937,0.014806109304751262,0.0035587109872253653,,0.5384615384615384
2021-07-01,0.24099092166619213,0.28555537913207957,0.013946048398071273,-0.06569568302341125,0.014759126156922452,0.003530939233401914,,0.5283018867924528
2021-07-02,0.2404759963128734,0.2841457401298829,0.01387200071437897,-0.062477532200643136,0.014689330572017404,0.00354075340615405,,0.5185185185185185
