universe,controller,split_id,cost_bps,train_end,validation_end,evaluation_start,evaluation_end,ann_return,ann_vol,sharpe,max_dd,calmar
liquid_us_equity_250,EW,0,0.0,2021-12-09,2022-03-11,2022-03-14,2022-06-10,-0.1598957002131418,0.2635824268944841,-0.6066250398268918,-0.1398860184470706,-1.143042757146593
liquid_us_equity_250,EW,0,10.0,2021-12-09,2022-03-11,2022-03-14,2022-06-10,-0.1598957002131396,0.2635824268944839,-0.6066250398268838,-0.13988601844707027,-1.14304275714658
liquid_us_equity_250,EW,1,0.0,2022-03-11,2022-06-10,2022-06-13,2022-09-12,0.26036834599402825,0.23780151011583145,1.0948977820456638,-0.08855034773895842,2.940342445166218
liquid_us_equity_250,EW,1,10.0,2022-03-11,2022-06-10,2022-06-13,2022-09-12,0.2603683459940278,0.23780151011583145,1.094897782045662,-0.08855034773895842,2.940342445166213
liquid_us_equity_250,EW,2,0.0,2022-06-10,2022-09-12,2022-09-13,2022-12-09,-0.030728255475873212,0.28897412310971526,-0.10633566474774017,-0.10677197362239366,-0.2877932703975107
liquid_us_equity_250,EW,2,10.0,2022-06-10,2022-09-12,2022-09-13,2022-12-09,-0.030728255475873212,0.28897412310971526,-0.10633566474774017,-0.10677197362239366,-0.2877932703975107
liquid_us_equity_250,EW,3,0.0,2022-09-12,2022-12-09,2022-12-12,2023-03-14,-0.05950871786103695,0.19651024049533067,-0.30282756619061857,-0.10762200598721128,-0.5529419128979572
liquid_us_equity_250,EW,3,10.0,2022-09-12,2022-12-09,2022-12-12,2023-03-14,-0.05950871786103651,0.1965102404953306,-0.3028275661906164,-0.10762200598721117,-0.5529419128979537
liquid_us_equity_250,EW,4,0.0,2022-12-09,2023-03-14,2023-03-15,2023-06-13,0.3461045822965967,0.1502946917747744,2.3028396958486885,-0.040832618857841174,8.476178897392895
liquid_us_equity_250,EW,4,10.0,2022-12-09,2023-03-14,2023-03-15,2023-06-13,0.34610458229659624,0.15029469177477442,2.302839695848685,-0.040832618857841174,8.476178897392884
liquid_us_equity_250,EW,5,0.0,2023-03-14,2023-06-13,2023-06-14,2023-09-13,0.08334833256072471,0.10205618315740064,0.816690669602648,-0.04846995369815499,1.7195876249037512
liquid_us_equity_250,EW,5,10.0,2023-03-14,2023-06-13,2023-06-14,2023-09-13,0.08334833256072427,0.10205618315740068,0.8166906696026434,-0.04846995369815499,1.719587624903742
liquid_us_equity_250,EW,6,0.0,2023-06-13,2023-09-13,2023-09-14,2023-12-12,0.17155177556709766,0.15669689936001588,1.094800064753403,-0.09871041029414196,1.7379299210099686
liquid_us_equity_250,EW,6,10.0,2023-06-13,2023-09-13,2023-09-14,2023-12-12,0.17155177556709766,0.15669689936001585,1.0948000647534033,-0.09871041029414185,1.7379299210099706
liquid_us_equity_250,EW,7,0.0,2023-09-13,2023-12-12,2023-12-13,2024-03-14,0.29784021289668017,0.1231101453340293,2.4192986864416754,-0.023715535504460594,12.558865172076816
liquid_us_equity_250,EW,7,10.0,2023-09-13,2023-12-12,2023-12-13,2024-03-14,0.29784021289668106,0.12311014533402921,2.4192986864416843,-0.023715535504460594,12.558865172076853
liquid_us_equity_250,EW,8,0.0,2023-12-12,2024-03-14,2024-03-15,2024-06-13,0.0798578953590594,0.1128006476136611,0.707956000677074,-0.05606314325916284,1.4244277205164229
liquid_us_equity_250,EW,8,10.0,2023-12-12,2024-03-14,2024-03-15,2024-06-13,0.0798578953590603,0.11280064761366107,0.7079560006770821,-0.05606314325916284,1.4244277205164386
liquid_us_equity_250,EW,9,0.0,2024-03-14,2024-06-13,2024-06-14,2024-09-13,0.24810371825563002,0.1445676764672127,1.7161769789540933,-0.059961740959372234,4.137700378306191
liquid_us_equity_250,EW,9,10.0,2024-03-14,2024-06-13,2024-06-14,2024-09-13,0.24810371825563182,0.14456767646721252,1.7161769789541077,-0.05996174095937201,4.137700378306237
