update,mean_episode_reward
0,0.5240955270225337
1,0.4778011331121282
2,0.5560287656650568
3,0.5933379045939849
4,0.6291960268414792
5,0.6969085484937144
6,0.4674500618178475
7,0.5404587158118375
8,0.669038965444391
9,0.57737450414182
10,0.6438404673826881
11,0.6128210535292359
12,0.5847749474184335
13,0.8017822733381763
14,0.5452107786744212
15,0.5476261862010384
16,0.6050881989795016
17,0.7759872569974201
18,0.6328746706518965
19,0.6473116783551328
20,0.7136569797003176
21,0.49657700511064223
22,0.5976079183844073
23,0.6870876277486483
24,0.6436523814627435
25,0.6330104737814205
26,0.5336841634464994
27,0.5012615910818567
28,0.6949819558067247
29,0.7285221813049247
30,0.5581423063995317
31,0.5955870826376971
32,0.44177360644486424
33,0.6199025576740193
34,0.46178528702391003
35,0.6553674545672644
36,0.582520828441678
37,0.5998552550396804
38,0.6211459496019719
39,0.49564731626499753
40,0.565561454675238
41,0.42365989549822797
42,0.5822016036739418
43,0.6499008507234976
44,0.7577563362525931
45,0.6996957325172843
46,0.5633896523892569
47,0.44790187406761106
48,0.6080785132071469
49,0.6744389767409302
50,0.7393022186491484
51,0.5056196318958731
52,0.5995941230794415
53,0.6459482535089288
54,0.6794756805660048
55,0.5344471394928405
56,0.6329055672249524
57,0.6079348539011941
58,0.5896778631188985
59,0.6262909342864683
60,0.6418332330164654
61,0.6064074528791631
62,0.6210651499665497
63,0.5433506267921379
64,0.7324099045363255
65,0.5588695302770551
66,0.49941352372115944
67,0.6873305121019561
68,0.6031406386658394
69,0.5254903545768078
70,0.5300147434221193
71,0.6000846142705996
72,0.51492120611753
73,0.5428208826197078
74,0.5441493894419788
75,0.5337072755549647
76,0.618153706453692
77,0.5802015760564245
78,0.6058865235002789
79,0.5298608743323712
80,0.7380239431610486
81,0.6519125809427351
82,0.6238547370788486
83,0.6197584246983752
84,0.5871038988649767
85,0.7116463908848042
86,0.4539336696519361
87,0.7355016567598796
88,0.606486256258601
89,0.5604183270285527
90,0.5972137955444244
91,0.6171214615557498
92,0.5799777043866925
93,0.60328152202419
94,0.5621124535246054
95,0.6592995202324042
96,0.6455123063448506
97,0.5980670534869811
98,0.6039463847797985
99,0.5927279426056581
100,0.6077596812101547
101,0.6002735349029535
102,0.6347221860827025
103,0.5929592508182395
104,0.5908244180415446
105,0.6674072164460085
106,0.7338252864186264
107,0.6792295667061504
108,0.6516940945148235
109,0.5052375287244407
