update,mean_episode_reward
0,0.7544064307120001
1,1.0459155144291497
2,0.9438198253493889
3,0.945219299674136
4,0.9752796429675072
5,0.7648517029568515
6,0.982277774216224
7,0.9245486793458136
8,0.9435163671946611
9,0.8287696940030097
10,0.9978576489143052
11,0.9364457668484647
12,0.7625982727977316
13,0.817167393505315
14,1.0157678615573786
15,1.006302382487623
16,0.8812067712560747
17,0.8246885961431568
18,0.9581801747011317
19,0.8602660337370859
20,0.9173477656945579
21,0.9258476505280365
22,0.8039060691541332
23,0.8604239420790994
24,1.0791721153112424
25,0.9556674559053135
26,0.8866140781310605
27,0.7901458987453225
28,1.0538953315663093
29,0.6941063801908361
30,0.7676937917093104
31,0.9728799706786049
32,0.9054913855793529
33,0.8690220785618598
34,0.9610920856910828
35,0.782239568254378
36,0.8380053698688243
37,0.8543759570923916
38,0.96346763795691
39,1.0080262466144632
40,0.7234017722697293
41,1.1705746080174322
42,0.8884026594702542
43,0.8659895141778785
44,0.9536747871554022
45,1.0265819127880604
46,0.8679293508166666
47,0.8524297037462626
48,0.9093531224266371
49,1.0073757809072958
50,0.8544869636040554
51,0.9337158872431246
52,0.7768533451320158
53,0.8882065328236118
54,0.8313215924774037
55,0.957343271634727
56,0.9637201841314891
57,0.8528310519104707
58,0.9731954951251586
59,0.871262970132193
60,0.9602734931759187
61,0.8762488996931097
62,0.9090575906103974
63,0.9973797485989356
64,0.7681217543126877
65,0.9070181329802836
66,0.9125935792593131
67,0.9306993551746624
68,0.8767817873823939
69,0.9070636856913552
70,0.8473141472030269
71,0.8989150945117217
72,0.7459141062417984
73,0.9512492642176463
74,0.8813213780081242
75,0.9208639591670362
76,0.9013394724209624
77,0.748961215141359
78,0.9646124323520174
79,0.9526893951547208
80,0.9145157047964858
81,0.8661234932331657
82,1.0236650462485766
83,0.7708413107845141
84,1.0174293537858528
85,0.8915027563965244
86,0.7499452118330131
87,0.8327976152224134
88,0.99417488983651
89,0.9689562878514456
90,0.9164358067879826
91,0.9976642689139226
92,0.7390183989881128
93,0.858071919331754
94,0.9804218705603489
95,0.83043500767432
96,0.9486478810761886
97,0.9231577130961645
98,0.9171847171504245
99,0.9221585513811684
100,0.9732674288525232
101,0.9049764009153781
102,0.8922649348120709
103,1.0087006017411113
104,0.8472336515692405
105,0.6534483741435603
106,0.8440315672983161
107,0.6525274117686118
108,0.8137261929524963
109,0.8133019425217753
110,0.9722043753592212
111,0.9006173186800576
112,0.7195542218213026
113,0.8762540343494342
114,0.8778041336639338
115,0.8371439839732678
116,0.8840227863111068
117,1.0302462293680037
118,0.9718334357477639
119,0.8597200024980035
120,0.8818818226418443
121,0.9380279763461962
122,0.9741290842413642
123,0.9108302003296558
124,0.915274522555895
125,0.836186982346438
126,1.0140241739330424
127,0.8510570914528822
128,0.9769092207310072
129,0.8970562997381725
130,1.27414255260328
131,0.7072995237288827
132,0.8415626812241802
133,0.8583876081849363
134,0.7898534463374745
135,0.8651945841819119
136,0.9812047591685769
137,0.8731143305233976
138,0.922414086269176
139,1.0240865471375098
140,0.8950446169213441
141,0.9585047962115519
142,0.7677401162451739
143,0.8779078975650615
144,0.9415114632938639
145,0.7920623866957612
146,1.0248155104127363
147,0.767582581045796
148,0.8866236655982599
149,0.9435662455430247
150,0.8425053433729772
151,0.8728593837557431
152,0.9402670422991832
153,0.7836318015000264
154,0.7140376964477279
155,0.8220484609396408
156,0.9857769608347553
157,0.8774882356340944
158,0.9380486377525207
159,0.8411930029436311
160,0.9052814254552383
161,0.7634869529585254
162,0.8830168353952104
163,0.9379574907109903
164,0.8039535711650387
165,0.8323192278151813
166,0.7373627330022524
167,0.8221044701651105
168,1.0424071881484451
169,1.0215027543037347
170,0.8401203983620084
171,0.9494465438315274
172,0.9956981533625063
173,0.7972296917942003
174,0.982343817893252
175,0.8494015749253473
176,0.9076112613635511
177,0.8920444020419988
178,0.8548930316164842
179,0.7426630101138775
180,0.9448749066937125
181,0.9424902312506068
182,0.8131388554602381
183,0.7184630802410842
184,0.7949085348926322
185,0.8436063766762345
186,0.6817233504596819
187,0.8372911305947733
188,1.0203656442968168
189,0.7466666318831207
190,0.8601790407013444
191,0.9755119632328993
192,0.9335796880133481
193,0.9728228060475885
194,0.9743932636401951
195,0.8889588090252497
196,0.9916970408759577
197,0.9278958717895875
198,1.0771672972958488
199,0.9181483453503461
200,0.9345270271975702
201,0.7720334520113283
202,0.9943573698339302
203,0.8926348352057781
204,0.8256503912411972
205,0.9036730378550905
206,0.8948803885015574
207,1.1730231267662627
208,0.7749472895123594
209,0.9599218667461477
210,0.7797582480629899
211,0.8170300296081526
212,0.9153646445717337
213,0.9909325664892398
214,0.9949601433245334
215,1.07582294526613
216,0.8062645079447369
217,0.9158838536280504
218,0.9914413413954813
219,0.9512572626496573
220,0.7688769595620215
221,0.9630020250450192
222,0.909802467308206
223,0.8971633682129626
224,0.7965752252387878
225,0.9768597884919169
226,0.8021417727398633
227,0.7926130225694882
228,0.8792734550429486
229,0.8601677219961251
230,0.8554614727884958
231,0.8653152814630024
232,0.9705402538403783
233,0.9991427296743799
234,1.064782863322307
235,0.8486610637416258
236,0.8769198486159743
237,0.7380689695895247
238,0.9377843290461291
239,1.069548294841752
240,0.9099153802653746
241,0.9460205879722707
242,1.113425873818566
243,0.9228069437352436
244,0.7987781332026316
245,0.9221623260130704
246,0.920520305758752
247,1.0603052146684604
248,0.8823069449378332
249,0.8667729842224313
250,1.0000365037262782
251,0.8823537085392369
252,0.9827639108393669
253,0.9703482443331571
254,0.9866233023512905
255,1.0100023337795392
256,0.9474695371474505
257,0.8768442080167915
258,0.9518682731985185
259,0.890653165914955
260,0.8357257979262916
261,0.8447764965167153
262,0.7764189205045113
263,0.7879467198616416
264,0.9450573231501949
265,0.9347272720062089
266,0.7065533032816044
267,0.9002437554581775
268,0.7933612219126189
269,0.9358276077318806
270,0.8511822021528133
271,0.9432140095930966
272,0.8369017198512362
273,0.7959936445157231
274,0.9330834339548346
275,0.9322309251365368
276,1.1402818508466528
277,0.9589289420832756
278,0.9446569146327116
279,0.9382170725458915
280,0.8054903288401268
281,1.019477490026323
282,0.7904970519807648
283,0.9441617754656969
284,0.8372393381908599
285,0.9270301376538251
