universe,screen_rule,split_id,as_of_date,symbol,rank,score,lookback_start,lookback_end
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,AAPL,1,0.15748309286737494,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,ABBV,2,0.07386900863537438,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,AOS,3,0.052852002465579195,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,AEE,4,0.050799928069932054,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,LNT,5,0.048890542302494566,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,ABT,6,0.048248120712266473,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,AWK,7,0.037163737806269026,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,AES,8,0.027626712681960708,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,AFL,9,0.025244468285235966,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,0,2021-12-09,AKAM,10,0.023783374326556972,2021-11-09,2021-12-09
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,APA,1,0.16811231417045946,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,AEP,2,0.06891930440371286,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,ABBV,3,0.04092159656010996,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,LNT,4,0.0187753410868996,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,AON,5,0.005310290537922979,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,AEE,6,0.004105586500930292,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,MO,7,-0.002371506031145887,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,ALL,8,-0.003415560260827344,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,ARE,9,-0.014229678114109023,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,1,2022-03-11,AWK,10,-0.023438080162070052,2022-02-09,2022-03-11
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,APA,1,0.2744120724506698,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,AMT,2,0.1169900808895794,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,ALB,3,0.11364367881277548,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,AMD,4,0.07848045575046525,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,APO,5,0.0754773287741024,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,APD,6,0.06573937212056413,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,A,7,0.057724377441893404,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,AMZN,8,0.04059901881927419,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,ADBE,9,0.038251681330921494,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,2,2022-06-10,ADI,10,0.037242984124532086,2022-05-11,2022-06-10
liquid_us_equity_250,momentum_21_top10,3,2022-09-12,APA,1,0.14810551356245494,2022-08-11,2022-09-12
liquid_us_equity_250,momentum_21_top10,3,2022-09-12,AES,2,0.133059570452281,2022-08-11,2022-09-12
