universe,controller,split_id,cost_bps,train_end,validation_end,evaluation_start,evaluation_end,ann_return,ann_vol,sharpe,max_dd,calmar
sector_etf,EW,0,0.0,2019-06-19,2019-09-18,2019-09-19,2019-12-17,0.16971902667817806,0.08637777146819693,1.964846091667245,-0.03713268937324454,4.570609604051362
sector_etf,EW,0,10.0,2019-06-19,2019-09-18,2019-09-19,2019-12-17,0.16971902667818073,0.08637777146819643,1.9648460916672872,-0.03713268937324421,4.570609604051475
sector_etf,EW,0,25.0,2019-06-19,2019-09-18,2019-09-19,2019-12-17,0.16971902667817984,0.08637777146819646,1.9648460916672763,-0.03713268937324421,4.570609604051451
sector_etf,EW,1,0.0,2019-09-18,2019-12-17,2019-12-18,2020-03-19,-1.1571862464130889,0.4932440107091892,-2.3460725752086344,-0.31194422955680245,-3.7095933720378866
sector_etf,EW,1,10.0,2019-09-18,2019-12-17,2019-12-18,2020-03-19,-1.1571862464130902,0.4932440107091893,-2.346072575208637,-0.31194422955680234,-3.709593372037892
sector_etf,EW,1,25.0,2019-09-18,2019-12-17,2019-12-18,2020-03-19,-1.1571862464130902,0.4932440107091893,-2.346072575208637,-0.31194422955680223,-3.7095933720378933
sector_etf,EW,2,0.0,2019-12-17,2020-03-19,2020-03-20,2020-06-18,1.166407623067247,0.4310902350783977,2.7057157136774843,-0.086527471644402,13.48019999760653
sector_etf,EW,2,10.0,2019-12-17,2020-03-19,2020-03-20,2020-06-18,1.166407623067247,0.4310902350783978,2.7057157136774843,-0.08652747164440222,13.480199997606494
sector_etf,EW,2,25.0,2019-12-17,2020-03-19,2020-03-20,2020-06-18,1.1664076230672449,0.4310902350783978,2.705715713677479,-0.08652747164440233,13.480199997606451
sector_etf,EW,3,0.0,2020-03-19,2020-06-18,2020-06-19,2020-09-17,0.26469773410876485,0.15978578373720745,1.656578751351527,-0.05165576676749739,5.124262994585776
sector_etf,EW,3,10.0,2020-03-19,2020-06-18,2020-06-19,2020-09-17,0.26469773410876396,0.1597857837372077,1.6565787513515189,-0.051655766767497724,5.124262994585726
sector_etf,EW,3,25.0,2020-03-19,2020-06-18,2020-06-19,2020-09-17,0.26469773410876485,0.15978578373720756,1.656578751351526,-0.05165576676749761,5.124262994585754
sector_etf,EW,4,0.0,2020-06-18,2020-09-17,2020-09-18,2020-12-16,0.4066349546960617,0.1844454510633701,2.204635312768701,-0.0687860801245953,5.911587838027606
sector_etf,EW,4,10.0,2020-06-18,2020-09-17,2020-09-18,2020-12-16,0.4066349546960617,0.1844454510633701,2.204635312768701,-0.0687860801245953,5.911587838027606
sector_etf,EW,4,25.0,2020-06-18,2020-09-17,2020-09-18,2020-12-16,0.4066349546960626,0.18444545106337007,2.204635312768706,-0.0687860801245953,5.91158783802762
sector_etf,EW,5,0.0,2020-09-17,2020-12-16,2020-12-17,2021-03-19,0.33705389526508567,0.13884238377359057,2.4276008960800457,-0.040844836605573254,8.25205639850308
sector_etf,EW,5,10.0,2020-09-17,2020-12-16,2020-12-17,2021-03-19,0.3370538952650861,0.13884238377359048,2.42760089608005,-0.040844836605573254,8.252056398503091
sector_etf,EW,5,25.0,2020-09-17,2020-12-16,2020-12-17,2021-03-19,0.337053895265087,0.13884238377359046,2.4276008960800572,-0.040844836605573254,8.252056398503113
sector_etf,EW,6,0.0,2020-12-16,2021-03-19,2021-03-22,2021-06-18,0.24935464406215013,0.10439661794279896,2.3885318219445395,-0.032852394795673256,7.590151208319237
sector_etf,EW,6,10.0,2020-12-16,2021-03-19,2021-03-22,2021-06-18,0.24935464406214972,0.10439661794279893,2.388531821944536,-0.032852394795673034,7.590151208319276
