scope,config_name,n_trials,rl_mean,rl_std,rl_min,rl_max,rl_vs_train_selected_fixed_mean,rl_vs_train_selected_fixed_min,rl_vs_trailing_window_mean,rl_vs_random_mean_mean,train_selected_fixed_total_reward,trailing_window_total_reward,test_best_fixed_total_reward,period_oracle_total_reward,random_mean_total_reward,n_test_periods
combined,aggressive,7,1.2130063182479975,0.06309457326699507,1.1248317556455731,1.281113891320274,0.07923466030427205,-0.008939902298152447,-0.330344537460125,-0.0629878203113289,1.1337716579437256,1.5433508557081226,1.6346420049667358,2.5864081382751465,1.2759941385593265,14
liquid_us_equity_100,aggressive,7,0.823131503969697,0.010690385963342125,0.7988879873882979,0.8271720900665969,-0.004040536969634039,-0.02828405355103314,0.3477754600795783,0.16581947641264247,0.827172040939331,0.4753560438901187,0.8354963660240173,1.354848861694336,0.6573120275570545,8
liquid_us_equity_250,aggressive,7,0.2796218288131058,0.06766172968448382,0.12617944879457355,0.30519555881619453,-0.025573741178959608,-0.17901612119749188,-0.02613652793318033,-0.016748612566061638,0.30519556999206543,0.30575835674628615,0.46616578102111816,0.7641968727111816,0.29637044137916746,5
liquid_us_equity_500,aggressive,7,0.3705128747969866,0.0,0.3705128747969866,0.3705128747969866,1.862645149230957e-09,1.862645149230957e-09,-0.1957488210648298,-0.15451855581341079,0.37051287293434143,0.5662616958618164,0.881058394908905,0.9319376945495605,0.5250314306103974,4
