universe,controller,splits,ann_return,ann_vol,sharpe,max_dd,study_slice
liquid_us_equity_100,EW,22,0.1978325488555979,0.1971382057575185,1.5386466600987914,-0.3724814752514668,liquid_us_equity_100
liquid_us_equity_100,MRH_tau21_k5,22,0.0546712735782915,0.2331947626086047,0.4223118012600606,-0.2992150599179731,liquid_us_equity_100
liquid_us_equity_100,MRH_tau63_k5,22,0.1356758442144917,0.2385437478066345,0.6949586308805169,-0.259304055398572,liquid_us_equity_100
liquid_us_equity_100,MRH_tau126_k5,22,0.2244861410929599,0.2437968709815852,1.1151757426513151,-0.3073272556838576,liquid_us_equity_100
liquid_us_equity_250,EW,11,0.1215409590950913,0.169757112207315,0.9305060254173352,-0.1398860184470702,liquid_us_equity_250
liquid_us_equity_250,MRH_tau21_k5,11,0.1821316718716721,0.2213448550080157,0.993954669942795,-0.1409537922367554,liquid_us_equity_250
liquid_us_equity_250,MRH_tau63_k5,11,0.0554769744384849,0.2114204849169923,0.4034597480413705,-0.1522962203232912,liquid_us_equity_250
liquid_us_equity_250,MRH_tau126_k5,11,0.0503430114580468,0.2182275861700855,0.1960468755412715,-0.1893088244415245,liquid_us_equity_250
liquid_us_equity_500,EW,9,0.2173870081656082,0.1571778570556062,1.5224320117803236,-0.1680709876809125,liquid_us_equity_500
liquid_us_equity_500,MRH_tau21_k5,9,0.3699287048556494,0.2373459528760481,1.6342813970460075,-0.1954982466256011,liquid_us_equity_500
liquid_us_equity_500,MRH_tau63_k5,9,0.1950539451432195,0.2392903881302147,0.8298405651568399,-0.1663499146380957,liquid_us_equity_500
liquid_us_equity_500,MRH_tau126_k5,9,0.2695012354832812,0.2562802868776446,1.0407226809299284,-0.1477773283177633,liquid_us_equity_500
