universe,controller,mean_sharpe_across_screens,best_sharpe,mean_ann_return,mean_ann_vol,worst_drawdown,mean_turnover,screen_count
liquid_us_equity_100,EW,1.3797560282739039,1.4743813943593862,0.1910598628012246,0.20257836507812269,-0.4491631729839874,1.0000333894311098e-12,5
liquid_us_equity_100,MRH_tau126_k5,1.0880750561815244,1.2588852895381653,0.18559591377742451,0.21943680666885612,-0.3627943365586148,16.083636363620286,5
liquid_us_equity_100,MRH_tau21_k5,0.9476948709559148,1.0228752878034673,0.13596898244945033,0.21288154220600725,-0.4345071223054623,39.31636363632434,5
liquid_us_equity_100,MRH_tau63_k5,0.8660622070540551,0.9142733206443218,0.1283222896271157,0.21612430779986935,-0.3650997014005197,22.614545454522847,5
liquid_us_equity_250,EW,0.5715337356848451,0.8592181159536008,0.07964428772429162,0.1818698052120482,-0.1672740188644115,1.0000333894311098e-12,5
liquid_us_equity_250,MRH_tau63_k5,0.42564228943792354,0.5969740311401893,0.05028773272379734,0.19607287216994368,-0.1965240940312583,13.96727272725876,5
liquid_us_equity_250,MRH_tau21_k5,0.30889108380392194,0.7549799282930933,0.026301065686919645,0.19006546674555946,-0.1648103417032194,24.30181818179388,5
liquid_us_equity_250,MRH_tau126_k5,0.05858468803465119,0.5846127043912692,-0.011531095406215318,0.19948424749929558,-0.1965240940312587,10.64363636362572,5
liquid_us_equity_500,MRH_tau21_k5,1.433024311210748,1.7564080110227396,0.2768119419788836,0.19810522082712395,-0.157744495265887,22.119999999977882,5
liquid_us_equity_500,EW,1.4211570844159453,1.5096676690685649,0.23802571330607747,0.17904812123278663,-0.1499516057068682,1.0000333894311098e-12,5
liquid_us_equity_500,MRH_tau126_k5,1.142595238188259,1.391211727470704,0.24241268936257976,0.20920895467311693,-0.2095866381326877,9.3999999999906,5
liquid_us_equity_500,MRH_tau63_k5,0.9926806480769013,1.482785510712627,0.20873875040229412,0.20131292982767857,-0.1415783539882812,12.448888888876441,5
