run_id,split_id,universe_name,universe_rule,screen_rule,holding_budget,controller,cost_bps,train_start,train_end,evaluation_start,evaluation_end,gross_return,net_return,turnover,sharpe,max_drawdown,selected_for_paper,source_path
screened_candidate_pilot,5,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,0.0,2018-01-02,2020-04-02,2020-07-06,2020-10-01,0.4903872245691669,0.4903872245691669,1.0000333894311098e-12,2.717444055628902,-0.0819604384710466,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,5,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,10.0,2018-01-02,2020-04-02,2020-07-06,2020-10-01,0.4903872245691674,0.4903872245691674,1.0000333894311098e-12,2.7174440556289055,-0.0819604384710465,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,5,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,25.0,2018-01-02,2020-04-02,2020-07-06,2020-10-01,0.4903872245691669,0.4903872245691669,1.0000333894311098e-12,2.7174440556289023,-0.0819604384710468,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,6,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,0.0,2018-01-02,2020-07-02,2020-10-02,2020-12-31,0.5738774383799803,0.5738774383799803,1.0000333894311098e-12,2.97089920587842,-0.0896337443138848,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,6,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,10.0,2018-01-02,2020-07-02,2020-10-02,2020-12-31,0.5738774383799803,0.5738774383799803,1.0000333894311098e-12,2.97089920587842,-0.0896337443138848,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,6,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,25.0,2018-01-02,2020-07-02,2020-10-02,2020-12-31,0.5738774383799816,0.5738774383799816,1.0000333894311098e-12,2.9708992058784265,-0.0896337443138849,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,7,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,0.0,2018-01-02,2020-10-01,2021-01-04,2021-04-05,0.5004475808421125,0.5004475808421125,1.0000333894311098e-12,3.38253227037271,-0.0353370623176089,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,7,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,10.0,2018-01-02,2020-10-01,2021-01-04,2021-04-05,0.5004475808421125,0.5004475808421125,1.0000333894311098e-12,3.38253227037271,-0.0353370623176089,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,7,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,25.0,2018-01-02,2020-10-01,2021-01-04,2021-04-05,0.5004475808421129,0.5004475808421129,1.0000333894311098e-12,3.382532270372714,-0.0353370623176089,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,8,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,0.0,2018-01-02,2020-12-31,2021-04-06,2021-07-02,0.2083514907170967,0.2083514907170967,1.0000333894311098e-12,1.6029377728657872,-0.0499156049938823,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,8,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,10.0,2018-01-02,2020-12-31,2021-04-06,2021-07-02,0.2083514907170971,0.2083514907170971,1.0000333894311098e-12,1.6029377728657916,-0.0499156049938821,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
