scope,config_name,n_trials,rl_mean,rl_std,rl_min,rl_max,rl_vs_train_selected_fixed_mean,rl_vs_train_selected_fixed_min,rl_vs_trailing_window_mean,rl_vs_random_mean_mean,train_selected_fixed_total_reward,trailing_window_total_reward,test_best_fixed_total_reward,period_oracle_total_reward,random_mean_total_reward,n_test_periods
combined,aggressive,7,1.2130063182479975,0.06309457326699507,1.1248317556455731,1.281113891320274,0.07923466030427205,-0.008939902298152447,-0.330344537460125,-0.0629878203113289,1.1337716579437256,1.5433508557081226,1.6346420049667358,2.5864081382751465,1.2759941385593265,14
combined,baseline,7,1.2076300439605672,0.08983735279414638,1.0843592751771212,1.3211277672089636,0.07385838601684165,-0.049412382766604424,-0.33572081174755536,-0.06836409459875929,1.1337716579437256,1.5433508557081226,1.6346420049667358,2.5864081382751465,1.2759941385593265,14
combined,conservative,7,1.122054296002586,0.1375406241699059,0.9860980142839253,1.2940117423422635,-0.011717361941139513,-0.1476736436598003,-0.42129655970553653,-0.15393984255674045,1.1337716579437256,1.5433508557081226,1.6346420049667358,2.5864081382751465,1.2759941385593265,14
liquid_us_equity_100,aggressive,7,0.823131503969697,0.010690385963342125,0.7988879873882979,0.8271720900665969,-0.004040536969634039,-0.02828405355103314,0.3477754600795783,0.16581947641264247,0.827172040939331,0.4753560438901187,0.8354963660240173,1.354848861694336,0.6573120275570545,8
liquid_us_equity_100,baseline,7,0.7645048549332257,0.08098169161726027,0.6428227294236422,0.8271720900665969,-0.06266718600610537,-0.1843493115156889,0.28914881104310697,0.10719282737617115,0.827172040939331,0.4753560438901187,0.8354963660240173,1.354848861694336,0.6573120275570545,8
liquid_us_equity_100,conservative,7,0.67737856696892,0.1415825242405346,0.45668850466609,0.8271720900665969,-0.14979347397041107,-0.37048353627324104,0.20202252307880128,0.020066539411865442,0.827172040939331,0.4753560438901187,0.8354963660240173,1.354848861694336,0.6573120275570545,8
liquid_us_equity_250,aggressive,7,0.2796218288131058,0.06766172968448382,0.12617944879457355,0.30519555881619453,-0.025573741178959608,-0.17901612119749188,-0.02613652793318033,-0.016748612566061638,0.30519556999206543,0.30575835674628615,0.46616578102111816,0.7641968727111816,0.29637044137916746,5
liquid_us_equity_250,baseline,7,0.2775046231030761,0.035656586854848536,0.2317170923743106,0.30519555881619453,-0.027690946888989338,-0.07347847761775483,-0.02825373364321006,-0.018865818276091368,0.30519556999206543,0.30575835674628615,0.46616578102111816,0.7641968727111816,0.29637044137916746,5
liquid_us_equity_250,conservative,7,0.2670076993256641,0.03693860966719455,0.2317170923743106,0.30519555881619453,-0.03818787066640133,-0.07347847761775483,-0.03875065742062205,-0.02936274205350336,0.30519556999206543,0.30575835674628615,0.46616578102111816,0.7641968727111816,0.29637044137916746,5
liquid_us_equity_500,aggressive,7,0.3705128747969866,0.0,0.3705128747969866,0.3705128747969866,1.862645149230957e-09,1.862645149230957e-09,-0.1957488210648298,-0.15451855581341079,0.37051287293434143,0.5662616958618164,0.881058394908905,0.9319376945495605,0.5250314306103974,4
liquid_us_equity_500,baseline,7,0.3705128747969866,0.0,0.3705128747969866,0.3705128747969866,1.862645149230957e-09,1.862645149230957e-09,-0.1957488210648298,-0.15451855581341079,0.37051287293434143,0.5662616958618164,0.881058394908905,0.9319376945495605,0.5250314306103974,4
liquid_us_equity_500,conservative,7,0.36684624371784075,0.009700993984840282,0.3448464572429657,0.3705128747969866,-0.003666629216500691,-0.025666415691375732,-0.19941545214397566,-0.15818518689255662,0.37051287293434143,0.5662616958618164,0.881058394908905,0.9319376945495605,0.5250314306103974,4
