universe,screen_rule,controller,cost_bps,mean_ann_return,mean_sharpe,mean_turnover,worst_drawdown,splits
liquid_us_equity_100,cluster_capped_momentum_63_top10,EW,0.0,0.20545681663247697,1.3639925489463574,1.0000333894311098e-12,-0.3613262885627915,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,EW,10.0,0.20545681663247706,1.3639925489463582,1.0000333894311098e-12,-0.361326288562791,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,EW,25.0,0.20545681663247703,1.3639925489463582,1.0000333894311098e-12,-0.361326288562791,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau126_k5,0.0,0.19813145695942752,1.0790840217329305,16.27272727271101,-0.3241209932277138,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau126_k5,10.0,0.19318261170673418,1.055340219339158,16.27272727271101,-0.3243913448304223,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau126_k5,25.0,0.1857593438276951,1.0194305378555268,16.27272727271101,-0.324796872234485,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau21_k5,0.0,0.15045154651839956,1.0322259657504462,40.01818181814181,-0.4171180169303057,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau21_k5,10.0,0.13749684736171525,0.9703528666591221,40.01818181814181,-0.4178174753099887,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau21_k5,25.0,0.11806479862668944,0.8763636947480639,40.01818181814181,-0.4188666628795129,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau63_k5,0.0,0.13648820556849645,0.8756220417713236,23.163636363613207,-0.3235666562758822,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau63_k5,10.0,0.12921272331888226,0.841279300266752,23.163636363613207,-0.3241078029508617,22
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau63_k5,25.0,0.11829949994446377,0.7893971010060927,23.163636363613207,-0.3249195229633297,22
liquid_us_equity_100,low_volatility_63_top10,EW,0.0,0.16292076671293496,1.4401691442476683,1.0000333894311098e-12,-0.2926937438773652,22
liquid_us_equity_100,low_volatility_63_top10,EW,10.0,0.16292076671293507,1.4401691442476703,1.0000333894311098e-12,-0.2926937438773652,22
liquid_us_equity_100,low_volatility_63_top10,EW,25.0,0.16292076671293504,1.4401691442476696,1.0000333894311098e-12,-0.2926937438773656,22
liquid_us_equity_100,low_volatility_63_top10,MRH_tau126_k5,0.0,0.15819280860430698,1.209694901043209,15.509090909075406,-0.2701940553697967,22
liquid_us_equity_100,low_volatility_63_top10,MRH_tau126_k5,10.0,0.1538275654399071,1.1789913509094327,15.509090909075406,-0.2704859777476484,22
liquid_us_equity_100,low_volatility_63_top10,MRH_tau126_k5,25.0,0.14727970069330812,1.1326247207024565,15.509090909075406,-0.2709238613144258,22
liquid_us_equity_100,low_volatility_63_top10,MRH_tau21_k5,0.0,0.13724893099494098,1.1058038266324821,38.03636363632562,-0.2627910301276823,22
liquid_us_equity_100,low_volatility_63_top10,MRH_tau21_k5,10.0,0.12466033887573068,1.0228752878034675,38.03636363632562,-0.2633807973035799,22
liquid_us_equity_100,low_volatility_63_top10,MRH_tau21_k5,25.0,0.10577745069691269,0.8967445032467247,38.03636363632562,-0.2642654480674256,22
liquid_us_equity_100,low_volatility_63_top10,MRH_tau63_k5,0.0,0.0956521569915548,0.9617640258699364,21.527272727251212,-0.2700611559069029,22
liquid_us_equity_100,low_volatility_63_top10,MRH_tau63_k5,10.0,0.08844929115078586,0.9142733206443215,21.527272727251212,-0.2709370825198144,22
liquid_us_equity_100,low_volatility_63_top10,MRH_tau63_k5,25.0,0.07764499238963361,0.8421789583058271,21.527272727251212,-0.2722509724391801,22
liquid_us_equity_100,momentum_21_top10,EW,0.0,0.20414316767549598,1.4743813943593855,1.0000333894311098e-12,-0.4491631729839874,22
liquid_us_equity_100,momentum_21_top10,EW,10.0,0.20414316767549598,1.4743813943593862,1.0000333894311098e-12,-0.4491631729839874,22
liquid_us_equity_100,momentum_21_top10,EW,25.0,0.20414316767549623,1.4743813943593864,1.0000333894311098e-12,-0.4491631729839875,22
liquid_us_equity_100,momentum_21_top10,MRH_tau126_k5,0.0,0.24470796282069437,1.279974115519348,16.07272727271121,-0.362794336558615,22
liquid_us_equity_100,momentum_21_top10,MRH_tau126_k5,10.0,0.24069871774446705,1.2588852895381655,16.07272727271121,-0.3627943365586148,22
liquid_us_equity_100,momentum_21_top10,MRH_tau126_k5,25.0,0.2346848501301251,1.2271185185013282,16.07272727271121,-0.3627943365586146,22
liquid_us_equity_100,momentum_21_top10,MRH_tau21_k5,0.0,0.16482307184698275,0.9447246849913217,39.16363636359721,-0.4342808346393181,22
liquid_us_equity_100,momentum_21_top10,MRH_tau21_k5,10.0,0.15242921133323947,0.8793631343965942,39.16363636359721,-0.4345071223054623,22
liquid_us_equity_100,momentum_21_top10,MRH_tau21_k5,25.0,0.13383842056262424,0.7809200894650374,39.16363636359721,-0.4348465538046783,22
liquid_us_equity_100,momentum_21_top10,MRH_tau63_k5,0.0,0.16942483175543135,0.9426109187101358,22.272727272705012,-0.3648456396563826,22
liquid_us_equity_100,momentum_21_top10,MRH_tau63_k5,10.0,0.16265056181850443,0.9074177596843875,22.272727272705012,-0.3650997014005197,22
liquid_us_equity_100,momentum_21_top10,MRH_tau63_k5,25.0,0.15248915691311532,0.8544013495583003,22.272727272705012,-0.365480794016725,22
liquid_us_equity_100,momentum_63_top10,EW,0.0,0.20506277381192747,1.3588887496423878,1.0000333894311098e-12,-0.3613262885627915,22
liquid_us_equity_100,momentum_63_top10,EW,10.0,0.20506277381192745,1.3588887496423883,1.0000333894311098e-12,-0.361326288562791,22
liquid_us_equity_100,momentum_63_top10,EW,25.0,0.20506277381192756,1.3588887496423891,1.0000333894311098e-12,-0.361326288562791,22
liquid_us_equity_100,momentum_63_top10,MRH_tau126_k5,0.0,0.19813145695942735,1.0790840217329298,16.363636363620007,-0.3241209932277138,22
liquid_us_equity_100,momentum_63_top10,MRH_tau126_k5,10.0,0.19318261170673423,1.0553402193391581,16.363636363620007,-0.3243913448304223,22
liquid_us_equity_100,momentum_63_top10,MRH_tau126_k5,25.0,0.1857593438276951,1.0194305378555268,16.363636363620007,-0.324796872234485,22
liquid_us_equity_100,momentum_63_top10,MRH_tau21_k5,0.0,0.14884819559299178,1.0253671436094065,40.09090909086902,-0.4171180169303057,22
liquid_us_equity_100,momentum_63_top10,MRH_tau21_k5,10.0,0.1358953602733721,0.963813504863995,40.09090909086902,-0.4178174753099887,22
liquid_us_equity_100,momentum_63_top10,MRH_tau21_k5,25.0,0.11646610729394315,0.8703500833721267,40.09090909086902,-0.4188666628795129,22
liquid_us_equity_100,momentum_63_top10,MRH_tau63_k5,0.0,0.1406787271131161,0.8972390474868234,23.14545454543141,-0.3235666562758822,22
liquid_us_equity_100,momentum_63_top10,MRH_tau63_k5,10.0,0.13340465997085052,0.8630239990270758,23.14545454543141,-0.3241078029508617,22
liquid_us_equity_100,momentum_63_top10,MRH_tau63_k5,25.0,0.12249355925745493,0.811335238110632,23.14545454543141,-0.3249195229633297,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,EW,0.0,0.17771578917328765,1.2613483041737146,1.0000333894311098e-12,-0.3774870722028371,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,EW,10.0,0.17771578917328779,1.261348304173717,1.0000333894311098e-12,-0.377487072202837,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,EW,25.0,0.1777157891732876,1.2613483041737164,1.0000333894311098e-12,-0.377487072202837,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau126_k5,0.0,0.15204470788394053,0.9152978997752886,16.199999999983806,-0.3523112078840806,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau126_k5,10.0,0.14708806228928026,0.8918182017817077,16.199999999983806,-0.3525702834009264,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau126_k5,25.0,0.13965309389728897,0.8563571757835589,16.199999999983806,-0.3529588966761957,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau21_k5,0.0,0.1419629012039202,0.9648494042894882,39.272727272688016,-0.419164808166291,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau21_k5,10.0,0.1293631544031944,0.9020695610563952,39.272727272688016,-0.419629476319758,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau21_k5,25.0,0.11046353420210764,0.8069312693627592,39.272727272688016,-0.4203264785499578,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau63_k5,0.0,0.1350262721810525,0.8395539061043689,22.96363636361341,-0.3241209932277136,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau63_k5,10.0,0.12789421187655564,0.8043166556477387,22.96363636361341,-0.3243913448304216,22
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau63_k5,25.0,0.11719612141981285,0.7510562810876955,22.96363636361341,-0.3247968722344853,22
liquid_us_equity_250,cluster_capped_momentum_63_top10,EW,0.0,0.0766685454356243,0.49756933723090707,1.0000333894311098e-12,-0.1569888811153796,11
