universe,screen_rule,holding_budget,controller,splits,mean_ann_return,mean_ann_vol,mean_sharpe,worst_split_drawdown,mean_turnover,selected_for_paper,source_path
liquid_us_equity_100,cluster_capped_momentum_63_top10,10,EW,22,0.205456816632477,0.217694691345447,1.3639925489463582,-0.361326288562791,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,cluster_capped_momentum_63_top10,10,MRH_tau126_k5,22,0.1931826117067341,0.237777164978184,1.055340219339158,-0.3243913448304223,16.272727272711005,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,cluster_capped_momentum_63_top10,10,MRH_tau21_k5,22,0.1374968473617152,0.2302106447739182,0.970352866659122,-0.4178174753099887,40.01818181814183,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,cluster_capped_momentum_63_top10,10,MRH_tau63_k5,22,0.1292127233188822,0.2330031183810207,0.841279300266752,-0.3241078029508617,23.163636363613207,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,low_volatility_63_top10,10,EW,22,0.162920766712935,0.1623622750094656,1.44016914424767,-0.2926937438773652,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,low_volatility_63_top10,10,MRH_tau126_k5,22,0.1538275654399071,0.1681102104200225,1.1789913509094327,-0.2704859777476484,15.509090909075406,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,low_volatility_63_top10,10,MRH_tau21_k5,22,0.1246603388757306,0.1675517771284727,1.0228752878034673,-0.2633807973035799,38.03636363632561,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,low_volatility_63_top10,10,MRH_tau63_k5,22,0.0884492911507858,0.1672207117025059,0.9142733206443218,-0.2709370825198144,21.527272727251205,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,22,0.2041431676754959,0.2024527528797532,1.4743813943593862,-0.4491631729839874,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,momentum_21_top10,10,MRH_tau126_k5,22,0.240698717744467,0.2225692298883116,1.2588852895381653,-0.3627943365586148,16.072727272711205,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,momentum_21_top10,10,MRH_tau63_k5,22,0.1626505618185044,0.2169495562288817,0.9074177596843878,-0.3650997014005197,22.27272727270501,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,momentum_21_top10,10,MRH_tau21_k5,22,0.1524292113332394,0.214562483069356,0.8793631343965944,-0.4345071223054623,39.16363636359721,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,momentum_63_top10,10,EW,22,0.2050627738119274,0.2181902849919267,1.358888749642388,-0.361326288562791,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,momentum_63_top10,10,MRH_tau126_k5,22,0.1931826117067341,0.237777164978184,1.0553402193391583,-0.3243913448304223,16.363636363620007,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,momentum_63_top10,10,MRH_tau21_k5,22,0.1358953602733721,0.230899015375686,0.963813504863995,-0.4178174753099887,40.09090909086902,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,momentum_63_top10,10,MRH_tau63_k5,22,0.1334046599708505,0.2331295801406858,0.8630239990270758,-0.3241078029508617,23.14545454543141,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,vol_adjusted_momentum_63_top10,10,EW,22,0.1777157891732877,0.2121918211640208,1.261348304173717,-0.377487072202837,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
