universe,controller,splits,mean_ann_return,mean_ann_vol,mean_sharpe,worst_split_drawdown
sector_etf,EW,21,0.13687487817518698,0.17133868429883437,1.1884263863010973,-0.31194422955680234
sector_etf,MRH_tau21_k5,21,0.13562847255513127,0.1723892916442997,1.0811724952824766,-0.2660707455522544
