scope,config_name,seed,periods,arms,universes,train_fraction,n_updates,episodes_per_update,learning_rate,gamma,used_pufferlib,final_train_reward_mean_25,n_test_periods,rl_total_reward,train_selected_fixed_arm,train_selected_fixed_total_reward,trailing_window_total_reward,test_best_fixed_arm,test_best_fixed_total_reward,period_oracle_total_reward,random_mean_total_reward,random_p05_total_reward,random_p95_total_reward,rl_vs_train_selected_fixed,rl_vs_trailing_window,rl_vs_test_best_fixed,rl_vs_random_mean,oracle_gap,dominant_chosen_arm,chosen_arm_count
combined,conservative,3,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,220,8,0.015,0.96,True,0.8998295946455892,14,1.0972552709281445,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,-0.03651638701558113,-0.4460955847799781,-0.5373867340385914,-0.17873886763118207,1.489152867347002,momentum_21_top10|MRH_tau126_k5,10
combined,conservative,7,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,220,8,0.015,0.96,True,0.9039195805017516,14,1.2796149761416018,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.14584331819787621,-0.2637358795665208,-0.35502702882513404,0.0036208375822752714,1.3067931621335447,momentum_21_top10|MRH_tau63_k5,5
combined,conservative,11,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,220,8,0.015,0.96,True,0.9096913975391544,14,0.9860980142839253,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,-0.1476736436598003,-0.5572528414241973,-0.6485439906828105,-0.28989612427540123,1.6003101239912212,momentum_21_top10|MRH_tau21_k5,5
combined,conservative,17,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,220,8,0.015,0.96,True,0.8911474453094433,14,1.2083298446777917,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.07455818673406611,-0.3350210110303309,-0.42631216028894414,-0.06766429388153483,1.3780782935973548,cluster_capped_momentum_63_top10|EW,13
combined,conservative,23,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,220,8,0.015,0.96,True,0.9336655046050691,14,1.2940117423422635,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.16024008439853787,-0.24933911336585912,-0.3406302626244724,0.01801760378293693,1.292396395932883,cluster_capped_momentum_63_top10|EW,8
combined,conservative,31,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,220,8,0.015,0.96,True,0.9036994558784499,14,0.989794259890914,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,-0.14397739805281162,-0.5535565958172086,-0.6448477450758219,-0.28619987866841257,1.5966138783842325,momentum_21_top10|MRH_tau63_k5,5
combined,conservative,43,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,220,8,0.015,0.96,True,0.892494447053241,14,0.9992759637534618,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,-0.13449569419026375,-0.5440748919546607,-0.635366041213274,-0.2767181748058647,1.5871321745216846,momentum_21_top10|MRH_tau126_k5,11
combined,baseline,3,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,320,10,0.03,0.98,True,0.8799859401067224,14,1.0972552709281445,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,-0.03651638701558113,-0.4460955847799781,-0.5373867340385914,-0.17873886763118207,1.489152867347002,momentum_21_top10|MRH_tau126_k5,10
combined,baseline,7,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,320,10,0.03,0.98,True,0.8909835595460972,14,1.2614005417563021,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.12762888381257653,-0.28195031395182046,-0.3732414632104337,-0.014593596803024411,1.3250075965188444,momentum_21_top10|MRH_tau63_k5,5
combined,baseline,11,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,320,10,0.03,0.98,True,0.8930518341425342,14,1.3211277672089636,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.18735610926523805,-0.22222308849915895,-0.3135142377577722,0.0451336286496371,1.2652803710661829,vol_adjusted_momentum_63_top10|EW,7
