run_id,split_id,universe_name,universe_rule,screen_rule,holding_budget,controller,cost_bps,train_start,train_end,evaluation_start,evaluation_end,gross_return,net_return,turnover,sharpe,max_drawdown,selected_for_paper
2026-04-23-context-aware-grand-study,19,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,EW,10.0,2018-01-01,2023-10-04,2024-01-05,2024-04-05,0.306087512311914,0.306087512311914,0.0,2.735738958763207,0.0,False
2026-04-23-context-aware-grand-study,20,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,EW,10.0,2018-01-01,2024-01-04,2024-04-08,2024-07-08,0.165068982984907,0.165068982984907,0.0,1.5419196231804533,0.0,False
2026-04-23-context-aware-grand-study,21,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,EW,10.0,2018-01-01,2024-04-05,2024-07-09,2024-10-04,0.2890562371253025,0.2890562371253025,0.0,1.7944560467698474,0.0,False
2026-04-23-context-aware-grand-study,0,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2019-01-02,2019-04-04,2019-07-03,-0.3354597066124887,-0.3354597066124887,0.0,-2.0627289003008427,0.0,False
2026-04-23-context-aware-grand-study,1,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2019-04-03,2019-07-05,2019-10-02,-0.3668247041425747,-0.3668247041425747,0.0,-2.215182242791058,0.0,False
2026-04-23-context-aware-grand-study,2,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2019-07-03,2019-10-03,2020-01-02,0.8826966753146652,0.8826966753146652,0.0,7.330555499263396,0.0,False
2026-04-23-context-aware-grand-study,3,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2019-10-02,2020-01-03,2020-04-02,-0.5222302057839303,-0.5222302057839303,0.0,-0.9194619151361706,0.0,False
2026-04-23-context-aware-grand-study,4,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2020-01-02,2020-04-03,2020-07-02,0.8541012061644442,0.8541012061644442,0.0,2.0918398553120023,0.0,False
2026-04-23-context-aware-grand-study,5,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2020-04-02,2020-07-06,2020-10-01,0.2501173329912229,0.2501173329912229,0.0,1.0076994211778392,0.0,False
2026-04-23-context-aware-grand-study,6,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2020-07-02,2020-10-02,2020-12-31,0.606276472587449,0.606276472587449,0.0,2.782583886055466,0.0,False
2026-04-23-context-aware-grand-study,7,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2020-10-01,2021-01-04,2021-04-05,0.3399755414338026,0.3399755414338026,0.0,1.3410645976729094,0.0,False
2026-04-23-context-aware-grand-study,8,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2020-12-31,2021-04-06,2021-07-02,-0.3955979555244884,-0.3955979555244884,0.0,-2.010002721769742,0.0,False
2026-04-23-context-aware-grand-study,9,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2021-04-05,2021-07-06,2021-10-01,-0.4431288658239913,-0.4431288658239913,0.0,-2.7589964182904776,0.0,False
2026-04-23-context-aware-grand-study,10,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2021-07-02,2021-10-04,2021-12-31,0.0813137601828524,0.0813137601828524,0.0,0.2938019719048282,0.0,False
2026-04-23-context-aware-grand-study,11,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2021-10-01,2022-01-03,2022-04-01,0.2237288198755687,0.2237288198755687,0.0,1.4118065440967442,0.0,False
2026-04-23-context-aware-grand-study,12,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2021-12-31,2022-04-04,2022-07-05,-1.1866296880260885,-1.1866296880260885,0.0,-3.85437960356457,0.0,False
2026-04-23-context-aware-grand-study,13,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2022-04-01,2022-07-06,2022-10-03,-0.6699144599079814,-0.6699144599079814,0.0,-2.554161191530405,0.0,False
2026-04-23-context-aware-grand-study,14,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2022-07-05,2022-10-04,2023-01-03,0.5825734809902436,0.5825734809902436,0.0,2.3830158219405546,0.0,False
2026-04-23-context-aware-grand-study,15,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2022-10-03,2023-01-04,2023-04-04,0.1275605988686745,0.1275605988686745,0.0,0.6084818930602687,0.0,False
2026-04-23-context-aware-grand-study,16,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2023-01-03,2023-04-05,2023-07-06,0.0184005799168951,0.0184005799168951,0.0,0.0914611308549036,0.0,False
2026-04-23-context-aware-grand-study,17,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2023-04-04,2023-07-07,2023-10-04,-0.129249131010575,-0.129249131010575,0.0,-0.8425326720524576,0.0,False
2026-04-23-context-aware-grand-study,18,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2023-07-06,2023-10-05,2024-01-04,0.6067472677446655,0.6067472677446655,0.0,3.748952428621621,0.0,False
2026-04-23-context-aware-grand-study,19,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2023-10-04,2024-01-05,2024-04-05,0.8286842290364951,0.8286842290364951,0.0,3.2537715250862207,0.0,False
2026-04-23-context-aware-grand-study,20,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2024-01-04,2024-04-08,2024-07-08,0.2854742523984801,0.2854742523984801,0.0,1.9156662995963107,0.0,False
2026-04-23-context-aware-grand-study,21,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau21_k5,10.0,2018-01-01,2024-04-05,2024-07-09,2024-10-04,-0.4358474819509261,-0.4358474819509261,0.0,-1.7523955814860075,0.0,False
2026-04-23-context-aware-grand-study,0,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2019-01-02,2019-04-04,2019-07-03,-0.0499177401423232,-0.0499177401423232,0.0,-0.2793141690819315,0.0,False
2026-04-23-context-aware-grand-study,1,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2019-04-03,2019-07-05,2019-10-02,-0.2015305094743484,-0.2015305094743484,0.0,-0.86854668949107,0.0,False
2026-04-23-context-aware-grand-study,2,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2019-07-03,2019-10-03,2020-01-02,0.940239650528028,0.940239650528028,0.0,6.258634768051977,0.0,False
2026-04-23-context-aware-grand-study,3,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2019-10-02,2020-01-03,2020-04-02,-0.2770096494779661,-0.2770096494779661,0.0,-0.4629229167699684,0.0,False
2026-04-23-context-aware-grand-study,4,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2020-01-02,2020-04-03,2020-07-02,0.5527838135142562,0.5527838135142562,0.0,1.6726538975127685,0.0,False
2026-04-23-context-aware-grand-study,5,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2020-04-02,2020-07-06,2020-10-01,0.3663542601347025,0.3663542601347025,0.0,1.3358876282475884,0.0,False
2026-04-23-context-aware-grand-study,6,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2020-07-02,2020-10-02,2020-12-31,0.3408974349575442,0.3408974349575442,0.0,1.513442625001291,0.0,False
2026-04-23-context-aware-grand-study,7,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2020-10-01,2021-01-04,2021-04-05,1.0912599828155178,1.0912599828155178,0.0,3.9615451217717466,0.0,False
2026-04-23-context-aware-grand-study,8,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2020-12-31,2021-04-06,2021-07-02,-0.0079051097920377,-0.0079051097920377,0.0,-0.0432920181513094,0.0,False
2026-04-23-context-aware-grand-study,9,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2021-04-05,2021-07-06,2021-10-01,-0.0723702296311614,-0.0723702296311614,0.0,-0.4221187723754608,0.0,False
2026-04-23-context-aware-grand-study,10,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2021-07-02,2021-10-04,2021-12-31,0.0588458218218299,0.0588458218218299,0.0,0.2337706836506043,0.0,False
2026-04-23-context-aware-grand-study,11,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2021-10-01,2022-01-03,2022-04-01,0.0176297302967864,0.0176297302967864,0.0,0.0680041987053625,0.0,False
2026-04-23-context-aware-grand-study,12,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2021-12-31,2022-04-04,2022-07-05,-0.6010597886428113,-0.6010597886428113,0.0,-2.338345791705927,0.0,False
2026-04-23-context-aware-grand-study,13,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2022-04-01,2022-07-06,2022-10-03,-0.7331296595824361,-0.7331296595824361,0.0,-3.4163292429988625,0.0,False
2026-04-23-context-aware-grand-study,14,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2022-07-05,2022-10-04,2023-01-03,0.2759653682787508,0.2759653682787508,0.0,1.3160425937724287,0.0,False
2026-04-23-context-aware-grand-study,15,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2022-10-03,2023-01-04,2023-04-04,0.2937173318237711,0.2937173318237711,0.0,1.2587947281755434,0.0,False
2026-04-23-context-aware-grand-study,16,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2023-01-03,2023-04-05,2023-07-06,0.398209684738656,0.398209684738656,0.0,1.9433486331558631,0.0,False
2026-04-23-context-aware-grand-study,17,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2023-04-04,2023-07-07,2023-10-04,-0.0246659744424468,-0.0246659744424468,0.0,-0.1191974769451604,0.0,False
2026-04-23-context-aware-grand-study,18,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2023-07-06,2023-10-05,2024-01-04,0.448961061522962,0.448961061522962,0.0,2.7852381614737367,0.0,False
2026-04-23-context-aware-grand-study,19,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2023-10-04,2024-01-05,2024-04-05,0.3351598876209536,0.3351598876209536,0.0,1.585704343357106,0.0,False
2026-04-23-context-aware-grand-study,20,liquid_us_equity_100,fixed_current_constituents_symbol_limited,none_controller_internal_selection,controller_defined,MRH_tau63_k5,10.0,2018-01-01,2024-01-04,2024-04-08,2024-07-08,0.1555593263591568,0.1555593263591568,0.0,0.7789779958343218,0.0,False
